Question,Answer
When must the Consumer Guide to Agency Relationships be provided?,At first substantive contact before performing any agency services.
What is first substantive contact?,The first discussion of specific property details or a buyer’s or seller’s confidential information.
When must agency disclosure occur?,At the first substantive discussion about a specific property.
What form explains agency relationships in Ohio?,The Consumer Guide to Agency Relationships.
Is the Consumer Guide a contract?,No. It is a disclosure form only.
What creates an agency relationship?,A written brokerage agreement.
What is a listing agreement?,A written contract between a seller and a brokerage to market the property.
What is a buyer representation agreement?,A written contract between a buyer and a brokerage for representation.
Who does a salesperson represent?,The broker, not the client directly.
Who is the agent in an Ohio transaction?,The brokerage, through its affiliated licensees.
What is single agency?,When the brokerage represents only one party in a transaction.
What is dual agency?,When the brokerage represents both buyer and seller in the same transaction with written consent.
Is dual agency allowed in Ohio?,Yes, with written informed consent of both parties.
What is subagency?,When a brokerage represents the seller through cooperation with the listing brokerage.
Is subagency common in Ohio?,It is permitted but uncommon and must be disclosed.
What is a fiduciary duty?,A legal duty requiring loyalty, obedience, disclosure, confidentiality, accounting, and reasonable care.
Who owes fiduciary duties?,A licensee owes fiduciary duties to their client.
What duty is owed to customers?,Honesty and fair dealing, but not full fiduciary duties.
What is confidentiality?,The duty to not disclose confidential information without permission.
Does confidentiality survive closing?,Yes. Confidentiality continues after agency ends.
What is reasonable skill and care?,The duty to perform services competently and in accordance with license law.
What is obedience?,The duty to follow lawful instructions of the client.
Must unlawful instructions be followed?,No. A licensee must refuse unlawful instructions.
What is accounting?,The duty to properly handle and account for funds and documents.
Can a brokerage represent both parties without disclosure?,No. Written consent is required for dual agency.
What happens if proper agency disclosure is not made?,The licensee may face disciplinary action.
Can a salesperson act independently of their broker?,No. All licensed activity is conducted under the broker.
What is designated agency?,When different salespersons within the same brokerage represent different parties in the same transaction.
Does Ohio allow designated agency?,Yes, if properly disclosed and consented to.
When does an agency relationship terminate?,By expiration, completion, mutual agreement, death, or breach.
Can agency terminate at closing?,Yes, unless otherwise agreed.
What is an open listing?,A non-exclusive listing where commission is owed only to the procuring cause.
What is an exclusive right to sell listing?,Broker earns commission if property sells during listing term regardless of who finds buyer.
What is an exclusive agency listing?,Broker earns commission unless the owner sells independently.
What is procuring cause?,The broker who initiates an uninterrupted chain of events leading to a sale.
Can confidential information be shared with the other party?,No, unless authorized by the client.
Is the Consumer Guide required at open houses?,Yes, if substantive discussions occur.
Is agency automatically created by showing property?,No. Agency requires a written agreement.
Who supervises agency relationships?,The broker.
