Question,Answer
Who investigates complaints against real estate licensees in Ohio?,The Ohio Division of Real Estate and Professional Licensing.
Who conducts disciplinary hearings?,The Ohio Real Estate Commission.
What can trigger an investigation?,A written complaint alleging a violation of Ohio real estate law.
Can the Division initiate an investigation without a complaint?,Yes, if there is reason to believe a violation occurred.
What types of violations can trigger discipline?,Misrepresentation, commingling, conversion, failure to disclose, advertising violations, or other breaches of license law.
What is misrepresentation?,Making false or misleading statements about material facts in a transaction.
What is conversion in a disciplinary context?,Using client trust funds for personal benefit.
Can failure to provide agency disclosure lead to discipline?,Yes.
What happens after an investigation finds probable cause?,The matter proceeds to a formal hearing before the Commission.
Is the licensee entitled to notice of charges?,Yes. Written notice of allegations must be provided.
Can a licensee be represented by legal counsel at a hearing?,Yes.
What standard body makes the final disciplinary decision?,The Ohio Real Estate Commission.
What is the maximum civil penalty per violation?,Up to $2,500 per violation.
Can multiple violations result in multiple penalties?,Yes. Penalties may be assessed per violation.
What disciplinary actions may the Commission impose?,Reprimand, fine, suspension, revocation, or additional education requirements.
What is suspension?,Temporary removal of the right to practice real estate.
What is revocation?,Permanent loss of the real estate license.
Can the Commission require additional education as discipline?,Yes.
Can a license be suspended for failure to complete continuing education?,Yes.
Does a disciplinary record become public?,Yes. Disciplinary actions are public record.
Can a broker be disciplined for failure to supervise salespersons?,Yes.
Can commingling result in suspension or revocation?,Yes. It is considered a serious violation.
What happens if a licensee continues to practice while suspended?,It is an additional violation subject to further discipline.
Can civil penalties be imposed in addition to suspension or revocation?,Yes.
Is the Commission required to hold a hearing before revocation?,Yes, due process requires a hearing.
Can a disciplinary decision be appealed?,Yes, through the court system.
