Question,Answer
What is agency?,A fiduciary relationship in which a brokerage represents a client in a real estate transaction.
Who is the agent in Ohio real estate?,The brokerage, acting through its affiliated licensees.
Who is the principal?,The client who authorizes the brokerage to act on their behalf.
What is a client?,A party represented by a brokerage under a written agreement.
What is a customer?,A party not represented but entitled to honesty and fair dealing.
What is fiduciary duty?,A legal obligation of loyalty, obedience, disclosure, confidentiality, accounting, and reasonable care owed to a client.
What is dual agency?,When the same brokerage represents both buyer and seller in the same transaction with written consent.
What is designated agency?,When separate salespersons in the same brokerage represent different parties in a transaction.
What is subagency?,When a cooperating brokerage represents the seller through agreement with the listing broker.
What is single agency?,Representation of only one party in a transaction.
What is procuring cause?,The broker whose actions started an uninterrupted chain of events resulting in a sale.
What is an exclusive right to sell listing?,A listing where the broker earns a commission if the property sells during the listing term, regardless of who finds the buyer.
What is an exclusive agency listing?,A listing where the owner may sell independently without paying commission.
What is an open listing?,A non-exclusive listing where commission is paid only to the procuring cause.
What is a net listing?,A listing where the broker keeps proceeds above a set price; illegal in Ohio.
What is commingling?,Mixing broker funds with client trust funds.
What is conversion?,Using client trust funds for personal benefit.
What are trust funds?,Money received by a broker on behalf of another party in a transaction.
What is an escrow account?,A trust account maintained by a broker to hold client funds.
What is first substantive contact?,The first discussion of specific property details or confidential information.
What is the Consumer Guide to Agency Relationships?,A required disclosure form explaining agency options; not a contract.
What is misrepresentation?,A false statement or omission of material fact.
What is a material defect?,A defect that would affect the property’s value or desirability.
What is caveat emptor?,“Let the buyer beware”; buyer responsible unless fraud or concealment occurs.
What are dower rights?,A spouse’s one-third life estate interest in the other spouse’s real property.
What is a land installment contract?,A contract where buyer pays over time and receives title after full payment.
What is revocation?,Permanent cancellation of a real estate license.
What is suspension?,Temporary removal of the right to practice.
What is reprimand?,Formal written disciplinary action.
What is civil penalty?,A monetary fine imposed by the Commission.
What is blind advertising?,Advertising property without identifying the brokerage.
What is designated broker supervision?,The broker’s legal responsibility to oversee affiliated salespersons.
What is earnest money?,A deposit made by a buyer to show good faith in a transaction.
What is reconciliation?,The monthly process of comparing trust account balances with transaction records.
What is inducement?,An incentive offered to attract a buyer that must be disclosed.
What is confidentiality?,The duty to not reveal confidential client information without permission.
What is accounting?,The duty to properly safeguard and document client funds and documents.
What is obedience?,The duty to follow lawful client instructions.
What is reasonable care?,The duty to perform services competently and in accordance with law.
What is inactive status?,A license status in which the licensee cannot perform real estate activities.
